"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"The citric acid (TCA) cycle and respiratory electron transport","3.416e-10","141","Aco2, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Coq10a, Coq10b, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Fahd1, Glo1, Hagh, Idh3a, Idh3g, Ldha, Ldhb, Lrpprc, Me2, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Ogdh, Pdha1, Pdhb, Pdk2, Rxra, Sco2, Sdhb, Sdhd, Sucla2, Suclg1, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq","1.172e-05","143","Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Coq10b, Cox14, Cox16, Cox18, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Fahd1, Hagh, Idh3a, Idh3g, Ldha, Ldhb, Lrpprc, Me1, Me2, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufab1, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Ogdh, Pdha1, Pdhb, Pdk2, Pdk3, Pdk4, Pdp2, Rxra, Sco2, Sdhb, Sdhd, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq"
"Cellular response to chemical stress","1.644e-08","138","Akt2, Bach1, Carm1, Cat, Chd9, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cul1, Cul3, Ep300, Fabp1, Gpx1, Gsk3b, Gsr, Gstp1, H13, Hdac3, Helz2, Hmox2, Keap1, Lrpprc, Map1lc3b, Mul1, Nploc4, Prdx1, Prdx2, Prdx3, Prdx5, Prdx6, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd11, Psmd12, Psmd14, Psmd4, Psmd8, Psmd9, Psme3, Rxra, Sco2, Sesn2, Sin3a, Sod1, Sod2, Sqstm1, Srxn1, Txn1, Txn2, Txnrd2, Ubc, Vcp","2.716e-05","141","Akt3, Bach1, Carm1, Cat, Chd9, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cul1, Cyba, Ep300, Fabp1, Gpx1, Gsk3b, Gsr, Gstp1, H13, Helz2, Hmox2, Keap1, Lrpprc, Map1lc3b, Mul1, Ncf1, Ncoa1, Ncoa2, Nfe2l2, Nploc4, Prdx1, Prdx2, Prdx3, Prdx5, Prdx6, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb9, Psmc2, Psmc4, Psmd11, Psmd12, Psmd14, Psmd8, Psmd9, Psme3, Psmf1, Rxra, Sco2, Sesn2, Sin3a, Sin3b, Sod1, Sod2, Sod3, Sqstm1, Srxn1, Tbl1xr1, Txn2, Txnrd1, Txnrd2, Ubc, Ubxn7, Vcp"
"Respiratory electron transport","1.295e-07","82","Coq10a, Coq10b, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Lrpprc, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Sco2, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq","1.206e-04","82","Coq10b, Cox14, Cox16, Cox18, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Lrpprc, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufab1, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Sco2, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","1.721e-07","97","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Coq10a, Coq10b, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Lrpprc, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Sco2, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq","5.074e-04","99","Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Coq10b, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cyc1, Cycs, Etfa, Etfdh, Lrpprc, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufab1, Ndufaf2, Ndufaf4, Ndufaf5, Ndufaf7, Ndufb10, Ndufb11, Ndufb3, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Ndufv3, Sco2, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq"
"Class A/1 (Rhodopsin-like receptors)","1.149e-02","70","Ackr3, Adrb1, Anxa1, C3ar1, Cck, Cckar, Ccl11, Ccl21a, Ccl25, Ccl6, Ccl7, Ccl9, Cxcl12, Cxcl5, Edn1, Galr3, Gper1, Gpr55, Htr1b, Lpar1, Lpar5, Ltb4r2, Nln, Npb, Npff, Npy, Npy1r, Opn3, P2ry1, P2ry2, Penk, Pf4, Plppr2, Plppr3, Ptger1, Ptger2, S1pr2","2.659e-05","130","Adora2a, Adrb1, Adrb2, Apln, C3ar1, Cck, Ccl11, Ccl19, Ccr3, Ccrl2, Chrm1, Cnr1, Cort, Cxcl1, Cxcl10, Cxcl13, Cxcl5, Cxcr3, Cxcr6, Cysltr2, Ednra, Ednrb, Gal, Galr1, Galr3, Gnrh1, Gpr143, Gpr18, Gpr35, Gpr37, Gpr37l1, Gpr68, Hrh1, Hrh4, Htr5a, Lpar3, Ltb4r1, Ltb4r2, Mc5r, Nln, Npff, Npffr2, Opn1sw, Oprd1, Oxtr, P2ry1, P2ry6, Plppr1, Plppr2, Plppr3, Pomc, Ppbp, Prok2, Prokr1, Rho, S1pr1, S1pr2, S1pr3, S1pr4, Uts2"
"TP53 Regulates Metabolic Genes","2.826e-03","64","Akt2, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, G6pdx, Gls, Gpi1, Gsr, Lamtor2, Lrpprc, Prdx1, Prdx2, Prdx5, Prkaa1, Rheb, Rraga, Sco2, Sesn2, Tigar, Tsc1, Txn1, Ywhab, Ywhah","3.856e-03","66","Akt3, Cox14, Cox16, Cox18, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, G6pdx, Gls, Gpi1, Gsr, Lrpprc, Prdx1, Prdx2, Prdx5, Prkaa1, Prkab1, Prkag2, Rraga, Sco2, Sesn2, Tigar, Tsc1, Txnrd1, Ywhab, Ywhah"
"Cytoprotection by HMOX1","4.405e-03","46","Chd9, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Fabp1, H13, Hdac3, Helz2, Hmox2, Lrpprc, Rxra, Sco2, Sin3a","1.727e-02","46","Abcc1, Blvrb, Carm1, Chd9, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cycs, Fabp1, H13, Hdac3, Helz2, Hmox2, Lrpprc, Ncoa1, Ncoa2, Rxra, Sco2, Sin3a, Sin3b, Surf1, Tbl1xr1, Tgs1"
"Signaling by Receptor Tyrosine Kinases","1.811e-02","303","Aamp, Abi1, Actg1, Ap2b1, Ap2m1, Aph1a, Arf6, Atp6ap1, Atp6v0a1, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Baiap2, Brk1, Calm1, Calm2, Calm3, Cbl, Cdc37, Cdc42, Chd4, Col1a1, Col3a1, Crk, Ctnna1, Ctnnb1, Ctnnd1, Cyfip1, Diaph1, Dnal4, Ep300, Epn1, Eps15, Erbb2, Erbb3, Erbin, Fgfrl1, Furin, Hdac1, Hsp90aa1, Insr, Irs1, Itgav, Itgb1, Jup, Kit, Kras, Lrig1, Map2k2, Mapk13, Mapk3, Mapkapk2, Ncbp2, Nckap1, Ncstn, Pde3b, Pdgfa, Pdpk1, Pik3c3, Pik3r1, Pik3r2, Plcg1, Polr2a, Polr2e, Ppp2ca, Ppp2cb, Prkaca, Prkcz, Psen2, Psenen, Ptk2b, Ptpn6, Ptprk, Rab4b, Rac1, Rock2, Sgk1, Shb, Spint1, Spp1, Spred1, Spred2, Src, Tcirg1, Ubc, Vav2, Vegfb, Ywhab","2.744e-03","338","Aamp, Abi1, Actg1, Akt3, Ap2b1, Ap2m1, Aph1a, Areg, Arf6, Atp6ap1, Atp6v0a1, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Baiap2, Brk1, Calm1, Calm2, Calm3, Cbl, Cdc37, Cdc42, Chd4, Col11a1, Col1a1, Col3a1, Col6a1, Crk, Csk, Ctnna1, Ctnnd1, Cyfip1, Diaph1, Dnal4, Egfr, Elmo2, Ep300, Epn1, Eps15, Erbb2, Erbb3, Erbin, Fgf18, Fgfbp1, Fgfrl1, Hbegf, Hdac1, Hnrnpa1, Hsp90aa1, Igf1r, Insr, Irs1, Irs2, Irs4, Itgb1, Jak2, Jup, Kit, Kras, Map2k2, Mapk1, Mapk14, Mapk3, Mapkapk2, Mst1r, Ncbp1, Ncbp2, Nck2, Ncstn, Pak2, Pde3b, Pdgfa, Pdpk1, Pik3cb, Pik3r1, Pik3r2, Pik3r3, Pik3r4, Plcg1, Polr2a, Ppp2ca, Ppp2cb, Prkaca, Prkacb, Prkcb, Psen2, Psenen, Ptk2b, Ptpn6, Ptprk, Pxn, Rab4b, Rac1, Ranbp10, Rock2, Sgk1, Shb, Spint1, Spp1, Spred1, Spred2, Src, Tcirg1, Ubc, Vav2, Vegfa, Vegfb, Ywhab"
"Insulin receptor recycling","1.149e-02","21","Atp6ap1, Atp6v0a1, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Insr, Tcirg1","1.666e-02","21","Atp6ap1, Atp6v0a1, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Insr, Tcirg1"
"HDR through Homologous Recombination (HRR)","1.797e-02","34","Blm, Eme2, Nbn, Palb2, Pcna, Pold1, Pole2, Pole3, Polh, Rad51c, Rbbp8, Rfc2, Rfc3, Rmi1, Slx1b, Spidr, Top3a, Wrn, Xrcc2, Xrcc3","6.001e-03","45","Brca2, Chek1, Eme2, Exo1, Gen1, Palb2, Pcna, Pole, Pole3, Polh, Rad51, Rbbp8, Rfc2, Rfc5, Rmi1, Top3a, Wrn, Xrcc2"
"KEAP1-NFE2L2 pathway","5.924e-03","68","Akt2, Bach1, Cul1, Cul3, Ep300, Gsk3b, Keap1, Map1lc3b, Mul1, Nploc4, Prdx1, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd11, Psmd12, Psmd14, Psmd4, Psmd8, Psmd9, Psme3, Sesn2, Sqstm1, Srxn1, Ubc, Vcp","2.307e-02","68","Akt3, Bach1, Cul1, Ep300, Gsk3b, Keap1, Map1lc3b, Mul1, Nfe2l2, Nploc4, Prdx1, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb9, Psmc2, Psmc4, Psmd11, Psmd12, Psmd14, Psmd8, Psmd9, Psme3, Psmf1, Sesn2, Sqstm1, Srxn1, Ubc, Ubxn7, Vcp"
"GPCR ligand binding","4.918e-02","91","Ackr3, Adgre5, Adrb1, Anxa1, C3ar1, Casr, Cck, Cckar, Ccl11, Ccl21a, Ccl25, Ccl6, Ccl7, Ccl9, Cxcl12, Cxcl5, Edn1, Galr3, Gng10, Gper1, Gpr55, Htr1b, Lpar1, Lpar5, Ltb4r2, Nln, Npb, Npff, Npy, Npy1r, Opn3, P2ry1, P2ry2, Penk, Pf4, Plppr2, Plppr3, Ptger1, Ptger2, S1pr2, Sctr, Vip, Vipr2","5.968e-05","163","Adm2, Adora2a, Adrb1, Adrb2, Apln, C3ar1, Cck, Ccl11, Ccl19, Ccr3, Ccrl2, Chrm1, Cnr1, Cort, Cxcl1, Cxcl10, Cxcl13, Cxcl5, Cxcr3, Cxcr6, Cysltr2, Ednra, Ednrb, Gal, Galr1, Galr3, Gcg, Gnb4, Gnrh1, Gpr143, Gpr18, Gpr35, Gpr37, Gpr37l1, Gpr68, Hrh1, Hrh4, Htr5a, Lpar3, Ltb4r1, Ltb4r2, Mc5r, Nln, Npff, Npffr2, Opn1sw, Oprd1, Oxtr, P2ry1, P2ry6, Plppr1, Plppr2, Plppr3, Pomc, Ppbp, Prok2, Prokr1, Pth1r, Ramp3, Rho, S1pr1, S1pr2, S1pr3, S1pr4, Sct, Sctr, Tas1r1, Uts2, Vip, Vipr1, Vipr2"
"Neutrophil degranulation","4.918e-02","345","Actr1b, Actr2, Adam10, Agl, Agpat2, Alad, Anpep, Anxa2, Apeh, Arl8a, Arpc5, Arsa, Arsb, Asah1, Atad3a, Atp11a, Atp11b, Atp6ap2, Atp6v0a1, Atp6v0c, Atp6v1d, B2m, B4galt1, Bri3, Bst2, C3, Cab39, Cand1, Cant1, Cat, Cct2, Cd177, Cd47, Cd55, Cd63, Cmtm6, Copb1, Cotl1, Creg1, Csnk2b, Cst3, Ctsa, Ctsb, Ctsc, Ctsz, Cyfip1, Ddost, Degs1, Diaph1, Dnajc5, Dnase1l1, Dsp, Dync1h1, Dync1li1, Eef1a1, Eef2, Enpp4, Fabp5, Fgl2, Fth1, Fuca1, Fuca2, Gm2a, Gpi1, Gsn, Gstp1, Gusb, H2-Q6, Hmox2, Hsp90aa1, Hspa8, Huwe1, Igf2r, Impdh2, Iqgap2, Itgav, Jup, Kcmf1, Lamtor2, Magt1, Man2b1, Manba, Mlec, Mvp, Ncstn, Ndufc2, Nfasc, Nme2, Npc2, Ormdl3, Pdap1, Pfkl, Pgm2, Pgrmc1, Pnp, Ppia, Ppie, Prdx6, Psap, Psmb7, Psmc2, Psmd11, Psmd12, Psmd14, Ptpn6, Ptprj, Ptprn2, Rab14, Rab24, Rab4b, Rab5b, Rab5c, Rab7, Rac1, Rap2c, Serpinb1a, Slc15a4, Slc44a2, Snap29, Srp14, Surf4, Svip, Syngr1, Tcirg1, Tmbim1, Tmem30a, Tmem63a, Tollip, Tom1, Ttr, Tubb4b, Txndc5, Ubr4, Unc13d, Vamp8, Vapa, Vat1, Vcp","5.968e-05","385","Acly, Actr2, Adam10, Agl, Agpat2, Alad, Ano6, Anpep, Anxa2, Apeh, Arl8a, Arpc5, Arsa, Arsb, Asah1, Atad3a, Atg7, Atp11a, Atp6ap2, Atp6v0a1, Atp6v0c, Atp6v1d, B2m, B4galt1, Bri3, Bst2, C3, Cab39, Cand1, Cant1, Cat, Cct2, Cd177, Cd36, Cd44, Cd47, Cd55, Cd63, Cd68, Cfp, Ckap4, Copb1, Cotl1, Cpne3, Creg1, Cst3, Cstb, Ctsa, Ctsb, Ctsc, Ctsh, Ctsz, Cxcr1, Cyba, Cyfip1, Ddost, Degs1, Diaph1, Dnajc5, Dnase1l1, Dsp, Dync1h1, Dync1li1, Eef1a1, Eef2, Enpp4, Fabp5, Fcer1g, Fgl2, Fgr, Fuca1, Fuca2, Gaa, Galns, Glb1, Gm2a, Gpi1, Grn, Gsdmd, Gsn, Gstp1, Gusb, Gyg, H2-K1, H2-Q6, Hmox2, Hsp90aa1, Hspa1b, Hspa8, Huwe1, Igf2r, Impdh2, Iqgap2, Jup, Kcmf1, Lamtor2, Lyz2, Magt1, Man2b1, Manba, Mapk1, Mapk14, Mgst1, Mlec, Mvp, Ncstn, Ndufc2, Neu1, Nfasc, Nit2, Npc2, Ormdl3, Pdap1, Pfkl, Pglyrp1, Pgm2, Pgrmc1, Plaur, Pnp, Ppia, Ppie, Prdx4, Prdx6, Prkcd, Psap, Psmc2, Psmd11, Psmd12, Psmd14, Ptpn6, Ptprc, Ptprn2, Qsox1, Rab14, Rab24, Rab27a, Rab4b, Rab5b, Rab5c, Rab7, Rac1, Rap2c, Rhof, Serpinb1a, Serpinb6a, Slc15a4, Slc44a2, Snap23, Snap29, Surf4, Svip, Syngr1, Tcirg1, Tmbim1, Tmem30a, Tmem63a, Tnfrsf1b, Tollip, Tom1, Tspan14, Ttr, Tubb4b, Txndc5, Tyrobp, Ubr4, Unc13d, Vamp8, Vcp, Vps35l, Xrcc5"
"RAF activation","1.760e-02","32","Calm1, Calm2, Calm3, Kras, Map2k2, Mark3, Ppp2ca, Ppp2cb, Ppp2r5b, Src, Ywhab","1.840e-02","32","Calm1, Calm2, Jak2, Kras, Map2k2, Mark3, Ppp2ca, Ppp2cb, Ppp2r5b, Src, Ywhab"
"VEGFA-VEGFR2 Pathway","2.059e-02","76","Abi1, Actg1, Baiap2, Brk1, Calm1, Calm2, Calm3, Cdc42, Crk, Ctnna1, Ctnnb1, Ctnnd1, Cyfip1, Hsp90aa1, Itgav, Jup, Kras, Mapk13, Mapkapk2, Nckap1, Pdpk1, Pik3cb, Pik3r1, Pik3r2, Plcg1, Prkaca, Prkacb, Prkcz, Ptk2b, Rac1, Rock2, Shb, Src, Vav2","1.375e-02","84","Abi1, Actg1, Akt3, Baiap2, Brk1, Calm1, Calm2, Calm3, Cdc42, Crk, Ctnna1, Ctnnb1, Ctnnd1, Cyba, Cyfip1, Elmo2, Hsp90aa1, Jup, Kras, Mapk14, Mapkapk2, Ncf1, Nck2, Nckap1, Pak2, Pdpk1, Pik3cb, Pik3r1, Pik3r2, Plcg1, Prkaca, Prkacb, Prkcb, Prkcd, Ptk2b, Pxn, Rac1, Rock2, Shb, Src, Vav2, Vegfa"
"Transport to the Golgi and subsequent modification","1.797e-02","147","Actr1a, Arcn1, Arf1, Arf5, Arfgap1, Arfgap3, B4galt1, Bet1l, Capzb, Cd55, Cnih1, Cog1, Cog2, Copa, Copb1, Copg1, Csnk1d, Ctsc, Ctsz, Dctn1, Dctn3, Dctn4, Dync1h1, Dync1li2, Dynll2, Fuca1, Golga2, Kdelr2, Lman1, Lman2, Lman2l, Man1a, Man1a2, Man2a1, Mgat1, Mgat2, Mgat4b, Ppp6r1, Ppp6r3, Rab1b, Scfd1, Sec16a, Sec22a, Tfg, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc10, Trappc2l, Trappc4, Trappc5, Trappc6a, Trappc9, Tuba1c, Tubb4b, Uso1, Ykt6","1.869e-02","152","Actr1a, Arcn1, Areg, Arf1, Arf5, Arfgap2, Arfgap3, B4galt1, B4galt6, Bet1l, Capzb, Cd55, Cnih1, Cog2, Cog4, Cog6, Cog8, Copa, Copb1, Copb2, Csnk1d, Ctsc, Ctsz, Dctn3, Dctn4, Dctn6, Dync1h1, Dync1li1, Dync1li2, Dynll2, Fuca1, Golga2, Kdelr1, Lman1, Lman2, Lman2l, Man1a, Man1a2, Man2a1, Mgat1, Mgat2, Mgat4b, Mgat5, Ppp6r1, Preb, Rab1b, Scfd1, Sec16a, Sec22a, Sec22b, Tfg, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc2l, Trappc5, Trappc6a, Trappc6b, Trappc9, Tuba1a, Tuba1c, Tubb4a, Tubb4b, Ykt6"
"Sphingolipid de novo biosynthesis","4.918e-02","31","Cers5, Degs1, Degs2, Fa2h, Ormdl3, Samd8, Sgms2, Sgpl1, Sgpp1, Sphk2, Sptlc1","2.744e-03","33","Acer3, Cers2, Cers4, Cers5, Degs1, Degs2, Fa2h, Ormdl1, Ormdl2, Ormdl3, Plpp1, Samd8, Sgms1, Sgms2, Sgpl1, Sgpp1, Sgpp2, Sphk2, Spns2, Sptlc1, Sptssb"
"Mitochondrial biogenesis","1.149e-02","22","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Sirt3, Sirt4, Sirt5, Sod2","3.196e-02","22","Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Cycs, Sirt3, Sirt4, Sirt5, Sod2"
"Telomere C-strand (Lagging Strand) Synthesis","4.918e-02","25","Blm, Dscc1, Lig1, Pcna, Pold1, Pot1a, Prim1, Prim2, Rfc2, Rfc3, Stn1, Terf1, Terf2, Wrn","3.856e-03","29","Chtf18, Dscc1, Lig1, Pcna, Pola1, Prim2, Rfc2, Rfc5, Stn1, Terf2, Wrn"
"Pyruvate metabolism and Citric Acid (TCA) cycle","1.149e-02","44","Aco2, D2hgdh, Dlat, Fahd1, Glo1, Hagh, Idh3a, Idh3g, L2hgdh, Ldha, Ldhb, Mdh2, Me2, Me3, Ogdh, Pdha1, Pdhb, Pdk1, Pdk2, Pdk3, Pdp2, Pdpr, Rxra, Sdha, Sdhb, Sdhd, Sucla2, Suclg1, Suclg2","3.625e-02","44","Aco2, Fahd1, Glo1, Hagh, Idh3a, Idh3g, Ldha, Ldhb, Me1, Me2, Ogdh, Pdha1, Pdhb, Pdk1, Pdk2, Pdk3, Pdk4, Pdp2, Rxra, Sdha, Sdhb, Sdhd, Suclg1, Suclg2, Vdac1"
"Asparagine N-linked glycosylation","4.918e-02","215","Actr1a, Alg1, Alg14, Alg2, Alg3, Alg9, Amfr, Arcn1, Arf1, Arf5, Arfgap1, Arfgap3, B4galt1, Bet1l, Calr, Canx, Capzb, Cd55, Cnih1, Cog1, Cog2, Copa, Copb1, Copg1, Csnk1d, Ctsa, Ctsc, Ctsz, Dctn1, Dctn3, Dctn4, Derl1, Dpm1, Dpm3, Dync1h1, Dync1li2, Dynll2, Fuca1, Golga2, Kdelr2, Lman1, Lman2, Lman2l, Man1a, Man1a2, Man2a1, Mgat1, Mgat2, Mgat4b, Nagk, Nus1, Pdia3, Ppp6r1, Ppp6r3, Rab1b, Rad23b, Scfd1, Sec16a, Sec22a, Slc35a1, Slc35c1, St3gal3, St3gal5, Tfg, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc10, Trappc2l, Trappc4, Trappc5, Trappc6a, Trappc9, Tuba1c, Tubb4b, Ubc, Ubxn1, Uso1, Vcp, Ykt6","1.579e-02","229","Actr1a, Alg14, Alg2, Alg3, Alg5, Alg9, Amfr, Arcn1, Areg, Arf1, Arf5, Arfgap2, Arfgap3, B4galt1, B4galt6, Bet1l, Calr, Canx, Capzb, Cd55, Cnih1, Cog2, Cog4, Cog6, Cog8, Copa, Copb1, Copb2, Csnk1d, Ctsa, Ctsc, Ctsz, Dctn3, Dctn4, Dctn6, Derl1, Dolpp1, Dpagt1, Dpm1, Dpm3, Dync1h1, Dync1li1, Dync1li2, Dynll2, Fcsk, Fpgt, Fuca1, Glb1, Golga2, Kdelr1, Lman1, Lman2, Lman2l, Man1a, Man1a2, Man2a1, Mgat1, Mgat2, Mgat4b, Mgat5, Nagk, Neu1, Nudt14, Nus1, Pdia3, Pmm1, Pmm2, Ppp6r1, Preb, Rab1b, Rad23b, Scfd1, Sec16a, Sec22a, Sec22b, Slc35a1, Slc35c1, St3gal1, St3gal3, St3gal5, St6gal2, Tfg, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc2l, Trappc5, Trappc6a, Trappc6b, Trappc9, Tuba1a, Tuba1c, Tubb4a, Tubb4b, Ubc, Ubxn1, Vcp, Ykt6"
"Iron uptake and transport","4.776e-02","41","Atp6ap1, Atp6v0a1, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Cand1, Cul1, Cybrd1, Hfe, Hmox2, Ireb2, Tcirg1, Ubc","2.365e-02","43","Atp6ap1, Atp6v0a1, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Cand1, Cul1, Cybrd1, Hfe, Hmox2, Ireb2, Nedd8, Tcirg1, Ubc"
